iter	Passed	Remaining
0	135	135261
1	138	68936
2	140	46812
3	143	35723
4	145	29025
5	148	24625
6	151	21450
7	153	19061
8	156	17228
9	159	15748
10	161	14517
11	164	13506
12	166	12654
13	169	11926
14	171	11290
15	174	10727
16	176	10231
17	179	9802
18	182	9412
19	185	9071
20	187	8751
21	190	8456
22	193	8210
23	196	7978
24	198	7757
25	201	7549
26	204	7362
27	207	7188
28	209	7022
29	212	6873
30	215	6725
31	217	6588
32	220	6461
33	223	6340
34	225	6230
35	228	6120
36	231	6014
37	234	5930
38	236	5835
39	239	5746
40	242	5664
41	245	5595
42	248	5523
43	251	5454
44	254	5393
45	257	5330
46	260	5279
47	263	5223
48	266	5170
49	269	5118
50	272	5069
51	275	5023
52	278	4974
53	281	4928
54	284	4887
55	288	4855
56	291	4818
57	294	4779
58	297	4745
59	300	4709
60	303	4671
61	306	4633
62	309	4602
63	312	4569
64	315	4537
65	318	4508
66	321	4480
67	324	4452
68	327	4419
69	330	4394
70	333	4364
71	336	4336
72	339	4308
73	342	4279
74	344	4253
75	347	4227
76	350	4202
77	353	4178
78	356	4156
79	359	4131
80	362	4107
81	364	4082
82	367	4058
83	369	4033
84	372	4007
85	374	3983
86	377	3962
87	380	3939
88	382	3918
89	385	3897
90	388	3877
91	391	3860
92	393	3840
93	396	3820
94	398	3799
95	401	3779
96	404	3761
97	406	3743
98	409	3725
99	412	3710
100	414	3693
101	417	3675
102	420	3658
103	422	3643
104	425	3629
105	428	3613
106	430	3596
107	433	3581
108	436	3568
109	439	3553
110	441	3538
111	444	3524
112	447	3511
113	449	3495
114	452	3479
115	454	3465
116	457	3451
117	459	3436
118	462	3423
119	465	3410
120	467	3396
121	469	3382
122	472	3369
123	475	3357
124	477	3344
125	480	3331
126	483	3320
127	485	3308
128	488	3296
129	491	3286
130	493	3275
131	496	3265
132	499	3254
133	501	3244
134	504	3233
135	507	3222
136	509	3210
137	512	3200
138	514	3189
139	517	3178
140	519	3167
141	522	3156
142	525	3147
143	527	3137
144	530	3127
145	532	3117
146	535	3106
147	537	3096
148	540	3086
149	543	3077
150	545	3066
151	548	3057
152	550	3049
153	553	3040
154	555	3031
155	558	3021
156	561	3013
157	563	3003
158	566	2993
159	568	2983
160	570	2974
161	573	2965
162	575	2955
163	577	2946
164	580	2938
165	583	2929
166	585	2922
167	588	2915
168	591	2906
169	593	2897
170	595	2889
171	598	2880
172	600	2872
173	603	2864
174	605	2855
175	608	2846
176	610	2838
177	613	2831
178	615	2822
179	618	2815
180	620	2809
181	623	2803
182	626	2796
183	629	2790
184	632	2784
185	634	2776
186	637	2770
187	640	2764
188	642	2757
189	645	2750
190	647	2743
191	650	2736
192	653	2730
193	655	2723
194	658	2717
195	660	2710
196	663	2704
197	666	2697
198	668	2691
199	671	2685
200	673	2678
201	676	2671
202	679	2666
203	681	2659
204	684	2652
205	686	2647
206	689	2641
207	692	2635
208	694	2630
209	697	2624
210	699	2617
211	702	2611
212	705	2605
213	707	2599
214	710	2593
215	712	2587
216	715	2581
217	718	2575
218	720	2569
219	723	2564
220	725	2559
221	728	2553
222	731	2547
223	733	2541
224	736	2536
225	738	2530
226	741	2524
227	743	2518
228	746	2513
229	748	2507
230	751	2501
231	754	2496
232	756	2490
233	759	2485
234	761	2479
235	764	2473
236	766	2468
237	769	2462
238	771	2457
239	774	2452
240	777	2447
241	779	2442
242	782	2437
243	785	2433
244	788	2428
245	790	2423
246	793	2418
247	795	2413
248	798	2408
249	801	2403
250	803	2397
251	806	2392
252	808	2387
253	811	2382
254	814	2378
255	816	2374
256	819	2370
257	822	2366
258	825	2362
259	828	2358
260	831	2353
261	833	2348
262	836	2344
263	839	2339
264	841	2335
265	844	2331
266	847	2326
267	850	2322
268	853	2318
269	855	2313
270	858	2308
271	861	2304
272	864	2301
273	866	2297
274	869	2291
275	871	2287
276	874	2283
277	877	2279
278	880	2275
279	883	2271
280	885	2266
281	888	2262
282	891	2258
283	894	2254
284	897	2250
285	899	2246
286	902	2242
287	905	2237
288	907	2233
289	910	2229
290	913	2224
291	915	2220
292	918	2217
293	921	2212
294	924	2208
295	926	2204
296	929	2199
297	932	2196
298	935	2192
299	938	2188
300	940	2184
301	944	2182
302	947	2178
303	949	2174
304	953	2171
305	955	2167
306	958	2163
307	961	2159
308	963	2154
309	966	2151
310	969	2147
311	971	2142
312	974	2138
313	977	2134
314	979	2131
315	982	2126
316	985	2122
317	988	2119
318	990	2114
319	994	2112
320	997	2109
321	999	2105
322	1002	2100
323	1004	2096
324	1007	2092
325	1010	2088
326	1012	2084
327	1015	2080
328	1018	2077
329	1020	2072
330	1023	2068
331	1025	2064
332	1028	2060
333	1031	2056
334	1033	2051
335	1035	2046
336	1038	2042
337	1040	2038
338	1043	2034
339	1046	2030
340	1048	2026
341	1051	2023
342	1054	2019
343	1057	2015
344	1059	2011
345	1062	2008
346	1065	2004
347	1067	2000
348	1070	1996
349	1073	1993
350	1075	1988
351	1078	1984
352	1080	1980
353	1083	1977
354	1086	1973
355	1088	1969
356	1091	1965
357	1093	1961
358	1096	1957
359	1099	1953
360	1101	1950
361	1104	1946
362	1106	1942
363	1109	1938
364	1111	1934
365	1114	1930
366	1117	1927
367	1119	1922
368	1121	1918
369	1123	1913
370	1126	1909
371	1128	1905
372	1131	1901
373	1133	1897
374	1135	1893
375	1138	1888
376	1140	1884
377	1142	1880
378	1145	1876
379	1147	1872
380	1150	1868
381	1152	1864
382	1155	1860
383	1157	1856
384	1159	1852
385	1162	1848
386	1164	1845
387	1166	1840
388	1169	1836
389	1171	1832
390	1173	1828
391	1176	1824
392	1178	1820
393	1181	1816
394	1183	1812
395	1185	1808
396	1188	1804
397	1190	1800
398	1193	1797
399	1195	1793
400	1197	1789
401	1199	1784
402	1202	1781
403	1205	1778
404	1207	1774
405	1210	1770
406	1212	1766
407	1215	1763
408	1217	1759
409	1220	1755
410	1222	1752
411	1225	1748
412	1227	1745
413	1229	1740
414	1232	1737
415	1234	1733
416	1237	1730
417	1240	1727
418	1243	1724
419	1246	1721
420	1249	1717
421	1251	1714
422	1254	1711
423	1257	1708
424	1260	1705
425	1263	1702
426	1266	1699
427	1269	1696
428	1271	1692
429	1274	1689
430	1277	1686
431	1280	1683
432	1282	1679
433	1285	1676
434	1287	1672
435	1290	1669
436	1293	1666
437	1295	1662
438	1298	1659
439	1301	1656
440	1304	1652
441	1306	1649
442	1309	1646
443	1312	1643
444	1314	1639
445	1317	1636
446	1319	1632
447	1322	1629
448	1324	1625
449	1327	1622
450	1329	1618
451	1332	1615
452	1334	1611
453	1337	1608
454	1340	1605
455	1342	1601
456	1344	1598
457	1347	1594
458	1350	1591
459	1352	1588
460	1355	1584
461	1357	1581
462	1360	1577
463	1362	1574
464	1365	1570
465	1367	1567
466	1370	1563
467	1372	1560
468	1374	1556
469	1377	1552
470	1379	1549
471	1381	1545
472	1384	1542
473	1386	1538
474	1388	1535
475	1391	1531
476	1393	1528
477	1396	1524
478	1398	1521
479	1401	1517
480	1403	1514
481	1406	1511
482	1408	1507
483	1410	1504
484	1413	1500
485	1415	1497
486	1418	1493
487	1420	1490
488	1423	1487
489	1425	1483
490	1427	1480
491	1430	1477
492	1432	1473
493	1435	1470
494	1437	1466
495	1440	1463
496	1442	1460
497	1445	1456
498	1447	1453
499	1450	1450
500	1452	1447
501	1455	1444
502	1458	1440
503	1460	1437
504	1463	1434
505	1465	1431
506	1468	1428
507	1471	1424
508	1473	1421
509	1476	1418
510	1478	1415
511	1481	1412
512	1483	1408
513	1486	1405
514	1488	1402
515	1491	1399
516	1494	1396
517	1496	1392
518	1499	1389
519	1501	1386
520	1504	1382
521	1506	1379
522	1508	1375
523	1511	1372
524	1513	1369
525	1515	1365
526	1518	1362
527	1520	1359
528	1522	1355
529	1525	1352
530	1527	1349
531	1529	1345
532	1532	1342
533	1534	1339
534	1537	1336
535	1539	1332
536	1541	1329
537	1544	1325
538	1546	1322
539	1549	1319
540	1551	1316
541	1554	1313
542	1556	1309
543	1558	1306
544	1561	1303
545	1563	1300
546	1566	1296
547	1568	1294
548	1571	1290
549	1573	1287
550	1576	1284
551	1578	1281
552	1580	1277
553	1583	1274
554	1585	1271
555	1588	1268
556	1590	1264
557	1593	1261
558	1595	1258
559	1598	1255
560	1600	1252
561	1602	1249
562	1605	1245
563	1607	1242
564	1610	1239
565	1612	1236
566	1614	1233
567	1617	1230
568	1619	1226
569	1621	1223
570	1624	1220
571	1626	1217
572	1629	1214
573	1631	1211
574	1634	1207
575	1637	1205
576	1639	1202
577	1642	1199
578	1645	1196
579	1647	1193
580	1650	1190
581	1653	1187
582	1656	1184
583	1658	1181
584	1661	1178
585	1663	1175
586	1666	1172
587	1668	1169
588	1671	1166
589	1673	1163
590	1676	1159
591	1678	1156
592	1680	1153
593	1683	1150
594	1685	1147
595	1688	1144
596	1690	1141
597	1693	1138
598	1695	1135
599	1697	1131
600	1700	1128
601	1702	1125
602	1704	1122
603	1707	1119
604	1709	1116
605	1712	1113
606	1714	1110
607	1717	1107
608	1719	1104
609	1721	1100
610	1724	1097
611	1726	1094
612	1729	1091
613	1731	1088
614	1733	1085
615	1736	1082
616	1738	1079
617	1741	1076
618	1743	1073
619	1745	1070
620	1748	1067
621	1750	1063
622	1752	1060
623	1755	1057
624	1757	1054
625	1760	1051
626	1762	1048
627	1764	1045
628	1767	1042
629	1769	1039
630	1771	1036
631	1773	1032
632	1776	1029
633	1778	1026
634	1781	1023
635	1783	1020
636	1785	1017
637	1788	1014
638	1790	1011
639	1793	1008
640	1795	1005
641	1797	1002
642	1800	999
643	1802	996
644	1805	993
645	1807	990
646	1810	987
647	1812	984
648	1814	981
649	1817	978
650	1819	975
651	1821	972
652	1824	969
653	1827	966
654	1829	963
655	1832	960
656	1835	958
657	1837	955
658	1840	952
659	1843	949
660	1846	947
661	1849	944
662	1852	941
663	1854	938
664	1857	935
665	1859	932
666	1861	929
667	1864	926
668	1866	923
669	1868	920
670	1871	917
671	1873	914
672	1875	911
673	1878	908
674	1880	905
675	1883	902
676	1885	899
677	1887	896
678	1890	893
679	1892	890
680	1894	887
681	1897	884
682	1899	881
683	1902	878
684	1904	875
685	1906	872
686	1909	869
687	1911	866
688	1913	863
689	1916	860
690	1918	858
691	1921	855
692	1923	852
693	1926	849
694	1928	846
695	1930	843
696	1933	840
697	1935	837
698	1938	834
699	1940	831
700	1942	828
701	1945	825
702	1948	823
703	1951	820
704	1953	817
705	1956	814
706	1958	811
707	1961	808
708	1963	806
709	1966	803
710	1969	800
711	1971	797
712	1973	794
713	1976	791
714	1978	788
715	1981	785
716	1983	782
717	1985	779
718	1988	777
719	1990	774
720	1993	771
721	1995	768
722	1998	765
723	2000	762
724	2002	759
725	2005	756
726	2007	753
727	2009	750
728	2012	747
729	2014	745
730	2016	742
731	2018	739
732	2021	736
733	2023	733
734	2026	730
735	2029	727
736	2031	725
737	2034	722
738	2037	719
739	2040	716
740	2042	713
741	2045	711
742	2048	708
743	2050	705
744	2053	702
745	2055	699
746	2057	697
747	2060	694
748	2062	691
749	2065	688
750	2067	685
751	2070	682
752	2072	679
753	2074	676
754	2077	674
755	2079	671
756	2082	668
757	2084	665
758	2086	662
759	2089	659
760	2091	656
761	2094	654
762	2096	651
763	2098	648
764	2101	645
765	2103	642
766	2106	639
767	2108	636
768	2110	634
769	2113	631
770	2115	628
771	2117	625
772	2120	622
773	2122	619
774	2125	617
775	2127	614
776	2130	611
777	2132	608
778	2134	605
779	2137	602
780	2139	599
781	2142	597
782	2144	594
783	2146	591
784	2149	588
785	2151	585
786	2154	583
787	2156	580
788	2158	577
789	2161	574
790	2163	571
791	2166	568
792	2168	566
793	2170	563
794	2173	560
795	2175	557
796	2177	554
797	2180	551
798	2182	549
799	2184	546
800	2187	543
801	2189	540
802	2192	537
803	2195	535
804	2197	532
805	2199	529
806	2201	526
807	2204	523
808	2206	520
809	2208	518
810	2211	515
811	2213	512
812	2215	509
813	2217	506
814	2219	503
815	2222	501
816	2225	498
817	2227	495
818	2230	492
819	2233	490
820	2235	487
821	2238	484
822	2241	481
823	2243	479
824	2245	476
825	2248	473
826	2250	470
827	2253	468
828	2255	465
829	2258	462
830	2260	459
831	2263	456
832	2265	454
833	2267	451
834	2270	448
835	2272	445
836	2275	443
837	2277	440
838	2280	437
839	2282	434
840	2284	431
841	2287	429
842	2289	426
843	2292	423
844	2294	420
845	2297	418
846	2299	415
847	2302	412
848	2304	409
849	2306	407
850	2309	404
851	2311	401
852	2313	398
853	2316	395
854	2318	393
855	2321	390
856	2323	387
857	2325	384
858	2328	382
859	2330	379
860	2332	376
861	2335	373
862	2337	371
863	2340	368
864	2342	365
865	2344	362
866	2346	360
867	2349	357
868	2351	354
869	2354	351
870	2356	348
871	2358	346
872	2361	343
873	2363	340
874	2365	337
875	2368	335
876	2370	332
877	2372	329
878	2375	326
879	2377	324
880	2380	321
881	2382	318
882	2384	316
883	2387	313
884	2389	310
885	2392	307
886	2394	305
887	2396	302
888	2399	299
889	2401	296
890	2403	294
891	2406	291
892	2408	288
893	2411	285
894	2413	283
895	2415	280
896	2418	277
897	2420	274
898	2422	272
899	2425	269
900	2428	266
901	2431	264
902	2433	261
903	2436	258
904	2439	256
905	2442	253
906	2445	250
907	2448	248
908	2450	245
909	2453	242
910	2455	239
911	2457	237
912	2460	234
913	2462	231
914	2465	228
915	2467	226
916	2469	223
917	2472	220
918	2474	218
919	2476	215
920	2478	212
921	2481	209
922	2483	207
923	2485	204
924	2487	201
925	2490	199
926	2492	196
927	2495	193
928	2497	190
929	2499	188
930	2501	185
931	2504	182
932	2506	179
933	2508	177
934	2511	174
935	2513	171
936	2515	169
937	2518	166
938	2520	163
939	2523	161
940	2525	158
941	2528	155
942	2530	152
943	2532	150
944	2535	147
945	2537	144
946	2539	142
947	2542	139
948	2544	136
949	2546	134
950	2549	131
951	2551	128
952	2554	125
953	2556	123
954	2559	120
955	2561	117
956	2563	115
957	2566	112
958	2568	109
959	2571	107
960	2573	104
961	2575	101
962	2577	99
963	2580	96
964	2582	93
965	2585	90
966	2587	88
967	2590	85
968	2593	82
969	2595	80
970	2597	77
971	2600	74
972	2602	72
973	2604	69
974	2607	66
975	2609	64
976	2612	61
977	2614	58
978	2617	56
979	2620	53
980	2622	50
981	2625	48
982	2627	45
983	2631	42
984	2633	40
985	2636	37
986	2639	34
987	2641	32
988	2644	29
989	2647	26
990	2650	24
991	2653	21
992	2655	18
993	2657	16
994	2660	13
995	2662	10
996	2665	8
997	2668	5
998	2670	2
999	2672	0
